X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
118.228311198094,-20.606170171966,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.14447,2.50706,3.04405,10.09126,-231.92577
118.228256930354,-20.6071686983865,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.01480,2.58037,7.80724,8.89582,-231.92577
118.228202662614,-20.608167224807,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.93914,2.63912,21.43220,7.67505,-231.92577
118.228148394874,-20.6091657512274,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.98286,2.64967,32.47329,6.83823,-231.92577
118.228094127133,-20.6101642776479,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.15384,2.59789,47.76946,6.79621,-231.92577
118.228039859393,-20.6111628040684,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.37698,2.50854,67.73663,7.62264,-231.92577
118.227985591653,-20.6121613304888,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.54973,2.41950,91.94274,8.98252,-238.47043
118.227931323913,-20.6131598569093,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.61098,2.36058,143.85988,10.35798,-238.47043
118.227877056173,-20.6141583833298,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.57094,2.34899,161.94307,11.35638,-238.47043
118.227822788432,-20.6151569097502,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.48302,2.38213,166.99376,11.86260,-238.47043
118.227768520692,-20.6161554361707,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.39094,2.43503,157.16954,11.94732,-238.47043
118.227714252952,-20.6171539625912,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.30902,2.47404,136.93526,11.71577,-238.47043
118.227659985212,-20.6181524890116,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.22640,2.48110,114.79332,11.29298,-238.47043
118.227605717471,-20.6191510154321,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.12100,2.47173,93.89893,10.79300,-238.47043
118.227551449731,-20.6201495418526,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.98463,2.47828,96.96694,10.21111,-245.24580
118.227497181991,-20.621148068273,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.77096,2.47168,87.29142,8.68897,-245.24580
118.227442914251,-20.6221465946935,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.71908,2.49452,76.49549,8.23447,-245.24580
118.22738864651,-20.623145121114,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.71270,2.50600,52.27636,7.69637,-245.24580
118.22733437877,-20.6241436475344,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.76893,2.48856,-16.28662,7.38165,-245.24580
118.22728011103,-20.6251421739549,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.92476,2.44432,-44.07761,7.64235,-245.24580
118.22722584329,-20.6261407003754,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.18649,2.38702,-62.38603,8.55279,-245.24580
118.227171575549,-20.6271392267958,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.50069,2.32860,-72.85590,9.86012,-245.24580
118.227117307809,-20.6281377532163,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.76658,2.27893,-78.31716,11.13570,-245.24580
118.227063040069,-20.6291362796368,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.89232,2.24663,-79.12217,12.03189,-252.12149
118.227008772329,-20.6301348060572,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.86920,2.23740,-74.79682,12.43436,-252.12149
118.226954504588,-20.6311333324777,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.76379,2.25155,-68.97162,12.40492,-252.12149
118.226900236848,-20.6321318588982,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.64106,2.28596,-64.33438,12.10898,-252.12149
118.226845969108,-20.6331303853186,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.53250,2.33497,-63.03244,11.73337,-252.12149
118.226791701368,-20.6341289117391,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.45944,2.38036,-71.60049,11.41821,-252.12149
118.226737433627,-20.6351274381596,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.44565,2.39776,-79.43362,11.24628,-252.12149
118.226683165887,-20.63612596458,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.49871,2.38189,-93.08605,11.20814,-252.12149
118.226628898147,-20.6371244910005,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.59521,2.34410,-96.96758,11.23244,-258.95395
118.226574630407,-20.638123017421,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.67765,2.30447,-96.92094,11.27149,-258.95395
118.226520362666,-20.6391215438414,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.67422,2.28847,-91.51376,11.28149,-258.95395
118.226466094926,-20.6401200702619,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.55816,2.36903,-90.45074,10.85734,-258.95395
118.226411827186,-20.6411185966824,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.50128,2.38624,-92.33596,10.80032,-258.95395
118.226357559446,-20.6421171231028,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.40743,2.39915,-98.21452,10.64854,-258.95395
118.226303291705,-20.6431156495233,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.28706,2.40585,-108.28769,10.43710,-258.95395
118.226249023965,-20.6441141759438,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.17006,2.40943,-132.19530,10.19232,-258.95395
118.226194756225,-20.6451127023642,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.09956,2.40889,-141.12315,9.91070,-266.43311
118.226140488485,-20.6461112287847,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.10155,2.40157,-147.82596,9.55754,-266.43311
118.226086220744,-20.6471097552052,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.16904,2.38956,-153.42567,9.10551,-266.43311
118.226031953004,-20.6481082816256,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.25531,2.38042,-158.53075,8.57929,-266.43311
118.225977685264,-20.6491068080461,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.30347,2.38436,-167.89951,8.06980,-266.43311
118.225923417524,-20.6501053344665,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.28822,2.39970,-172.65836,7.70842,-266.43311
118.225869149784,-20.651103860887,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.22589,2.40951,-177.15292,7.60952,-266.43311
118.225814882043,-20.6521023873075,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.15369,2.40428,-178.79277,7.79740,-266.43311
118.225760614303,-20.6531009137279,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.10341,2.38869,-180.20454,8.16969,-266.43311
118.225706346563,-20.6540994401484,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.08711,2.37235,-175.57390,8.51877,-275.92908
118.225652078823,-20.6550979665689,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.08873,2.36933,-172.11740,8.63048,-275.92908
118.225597811082,-20.6560964929893,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,1.06088,2.39563,-170.56294,8.43906,-275.92908
118.225543543342,-20.6570950194098,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.96339,2.45516,-172.07579,8.08795,-275.92908
118.225489275602,-20.6580935458303,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.79627,2.54129,-175.87062,7.45957,-275.92908
118.225435007862,-20.6590920722507,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.63455,2.58402,-183.73897,7.41340,-275.92908
118.225380740121,-20.6600905986712,070 Pilbara Province (Craton/ Block),Cenozoic regolith 76542,0.54849,2.56990,-187.68460,7.41033,-275.92908
