X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
130.315314265521,-28.6102246705514,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.27233,0.30786,-73.91084,4.87459,-739.96118
130.316275379785,-28.6105008215475,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.26425,0.29875,-74.77457,4.80492,-741.07843
130.317236494048,-28.6107769725437,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25880,0.28414,-75.34579,4.68922,-741.07843
130.318197608312,-28.6110531235398,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25664,0.26890,-76.22779,4.57004,-741.07843
130.319158722575,-28.6113292745359,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25801,0.25302,-77.10914,4.44622,-741.07843
130.320119836839,-28.6116054255321,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.26740,0.23408,-78.62431,4.33978,-736.56824
130.321080951102,-28.6118815765282,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.27569,0.21646,-79.51661,4.20813,-736.56824
130.322042065365,-28.6121577275244,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.28543,0.19954,-80.40923,4.08146,-736.56824
130.323003179629,-28.6124338785205,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.29584,0.18403,-81.09566,3.95989,-736.56824
130.323964293892,-28.6127100295166,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.31858,0.16210,-82.00318,3.82278,-737.59503
130.324925408156,-28.6129861805128,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.33159,0.14868,-82.92243,3.70467,-737.59503
130.325886522419,-28.6132623315089,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.34472,0.13660,-84.63783,3.59948,-737.59503
130.326847636682,-28.6135384825051,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.37375,0.11725,-85.56853,3.46283,-737.59503
130.327808750946,-28.6138146335012,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.38521,0.11042,-86.50186,3.39418,-737.59503
130.328769865209,-28.6140907844974,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.39504,0.10624,-87.37246,3.34837,-737.59503
130.329730979473,-28.6143669354935,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.40423,0.10351,-88.32359,3.31934,-737.59503
130.330692093736,-28.6146430864896,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.43201,0.09605,-89.27623,3.25348,-737.59503
130.331653207999,-28.6149192374858,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.44052,0.09598,-90.23517,3.27440,-737.59503
