X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
124.025409765034,-20.9257617358904,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,0.86151,-0.12312,17.01986,23.10483,-432.42328
124.02496355444,-20.9266566638796,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,0.45859,-0.10312,15.82641,20.09804,-432.42328
124.024517343846,-20.9275515918688,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,0.78474,0.01332,14.62411,23.36834,-432.42328
124.024071133252,-20.9284465198579,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,0.81686,-0.01334,13.26610,18.56081,-430.94244
124.023624922657,-20.9293414478471,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,1.25246,0.07078,12.05777,22.33965,-430.94244
124.023178712063,-20.9302363758362,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,1.24693,0.03701,10.75465,20.79389,-430.94244
124.022732501469,-20.9311313038254,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,1.52217,0.09014,9.63138,27.74849,-430.94244
124.022286290875,-20.9320262318145,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,2.15441,0.16063,8.41098,37.35917,-430.94244
124.021840080281,-20.9329211598037,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,2.96054,0.25577,7.35735,46.75153,-430.94244
124.021393869687,-20.9338160877928,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,3.47947,0.19789,6.17156,51.87527,-430.94244
124.020947659093,-20.934711015782,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,3.10541,0.07887,5.12240,48.12325,-430.94244
124.020501448499,-20.9356059437711,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,2.37883,-0.07897,3.89220,41.49686,-430.94244
124.020055237905,-20.9365008717603,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,2.62265,-0.02737,1.63223,44.89733,-430.94244
124.019609027311,-20.9373957997495,"Roeves (gravity feature, Reeves Knoll) region; basement province",Cenozoic regolith 76542,2.62265,-0.02737,0.42025,44.89733,-433.48438
