X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
123.01615623802,-17.6243707050166,"Oscar Range region, basement province",Cenozoic regolith 76542,1.06307,0.21267,38.28036,7.59507,139.76488
123.016094815751,-17.6253688168865,"Oscar Range region, basement province",Cenozoic regolith 76542,1.14775,0.20895,38.69588,7.55059,139.76488
123.016033393482,-17.6263669287564,"Oscar Range region, basement province",Cenozoic regolith 76542,1.17373,0.19783,39.05470,7.91868,139.76488
123.015971971213,-17.6273650406263,"Oscar Range region, basement province",Cenozoic regolith 76542,1.07620,0.18485,39.70878,8.59304,139.76488
123.015910548944,-17.6283631524963,"Oscar Range region, basement province",Cenozoic regolith 76542,0.93950,0.17792,39.98014,9.14888,138.05132
123.015849126675,-17.6293612643662,"Oscar Range region, basement province",Cenozoic regolith 76542,0.87344,0.18751,40.30002,9.25823,140.30656
123.015787704406,-17.6303593762361,"Oscar Range region, basement province",Cenozoic regolith 76542,0.86705,0.21129,40.56849,9.01977,140.30656
123.015726282137,-17.631357488106,"Oscar Range region, basement province",Cenozoic regolith 76542,0.84456,0.22688,40.87315,8.67493,140.30656
123.015664859868,-17.632355599976,"Oscar Range region, basement province",Cenozoic regolith 76542,0.84468,0.21564,41.49302,8.24393,140.30656
123.015603437599,-17.6333537118459,"Oscar Range region, basement province",Cenozoic regolith 76542,1.00414,0.18013,41.77876,7.57436,140.30656
123.01554201533,-17.6343518237158,"Oscar Range region, basement province",Cenozoic regolith 76542,1.33190,0.14220,42.07733,6.80300,140.30656
123.015480593062,-17.6353499355857,"Oscar Range region, basement province",Cenozoic regolith 76542,1.68937,0.11832,42.40054,6.12788,140.30656
123.015419170793,-17.6363480474557,"Oscar Range region, basement province",Cenozoic regolith 76542,1.70935,0.12258,42.73835,6.35342,140.30656
123.015357748524,-17.6373461593256,"Oscar Range region, basement province",Cenozoic regolith 76542,1.51297,0.12544,43.42212,6.97934,142.22801
123.015296326255,-17.6383442711955,"Oscar Range region, basement province",Cenozoic regolith 76542,1.27834,0.12503,43.74744,7.60709,142.22801
123.015234903986,-17.6393423830654,"Oscar Range region, basement province",Cenozoic regolith 76542,1.11536,0.14144,44.08871,7.88568,142.22801
123.015173481717,-17.6403404949353,"Oscar Range region, basement province",Cenozoic regolith 76542,1.04332,0.17967,44.48507,7.75410,142.22801
123.015112059448,-17.6413386068053,"Oscar Range region, basement province",Cenozoic regolith 76542,1.05361,0.21529,44.91598,7.44620,142.22801
123.015050637179,-17.6423367186752,"Oscar Range region, basement province",Cenozoic regolith 76542,1.11536,0.22374,45.66072,7.29985,142.22801
123.01498921491,-17.6433348305451,"Oscar Range region, basement province",Cenozoic regolith 76542,1.18295,0.20607,46.03389,7.42558,142.22801
123.014927792641,-17.644332942415,"Oscar Range region, basement province",Cenozoic regolith 76542,1.23566,0.18258,46.28073,7.56400,142.22801
123.014866370372,-17.645331054285,"Oscar Range region, basement province",Cenozoic regolith 76542,1.28263,0.17260,46.50534,7.46488,144.49464
123.014804948103,-17.6463291661549,"Oscar Range region, basement province",Cenozoic regolith 76542,1.33302,0.17344,46.71258,7.19486,144.49464
123.014743525835,-17.6473272780248,"Oscar Range region, basement province",Cenozoic regolith 76542,1.39228,0.17144,47.18124,6.94956,144.49464
123.014682103566,-17.6483253898947,"Oscar Range region, basement province",Cenozoic regolith 76542,1.44038,0.16138,47.50958,6.97005,144.49464
123.014620681297,-17.6493235017646,"Oscar Range region, basement province",Cenozoic regolith 76542,1.40793,0.14649,47.89807,7.40633,144.49464
123.014559259028,-17.6503216136346,"Oscar Range region, basement province",Cenozoic regolith 76542,1.27891,0.14069,48.29024,8.06629,144.49464
123.014497836759,-17.6513197255045,"Oscar Range region, basement province",Cenozoic regolith 76542,1.13222,0.15634,48.62995,8.15841,144.49464
123.01443641449,-17.6523178373744,"Oscar Range region, basement province",Cenozoic regolith 76542,1.04991,0.19881,48.91608,7.88621,144.49464
123.014374992221,-17.6533159492443,"Oscar Range region, basement province",Cenozoic regolith 76542,1.09927,0.23685,49.45648,7.21948,144.49464
123.014313569952,-17.6543140611143,"Oscar Range region, basement province",Cenozoic regolith 76542,1.15847,0.24599,49.70919,7.04234,144.94286
123.014252147683,-17.6553121729842,"Oscar Range region, basement province",Cenozoic regolith 76542,1.14092,0.22816,49.95559,7.49423,144.94286
123.014190725414,-17.6563102848541,"Oscar Range region, basement province",Cenozoic regolith 76542,1.09111,0.20249,50.33251,7.89943,144.94286
123.014129303145,-17.657308396724,"Oscar Range region, basement province",Cenozoic regolith 76542,1.03367,0.17553,50.63657,7.86327,144.94286
123.014067880876,-17.658306508594,"Oscar Range region, basement province",Cenozoic regolith 76542,0.93715,0.14839,51.23961,7.77886,144.94286
123.014006458608,-17.6593046204639,"Oscar Range region, basement province",Cenozoic regolith 76542,0.83272,0.13316,51.52747,8.08761,144.94286
123.013945036339,-17.6603027323338,"Oscar Range region, basement province",Cenozoic regolith 76542,0.79422,0.14241,51.86728,8.52876,144.94286
123.01388361407,-17.6613008442037,"Oscar Range region, basement province",Cenozoic regolith 76542,0.84231,0.17294,52.26596,8.56529,144.94286
123.013822191801,-17.6622989560736,"Oscar Range region, basement province",Cenozoic regolith 76542,0.91907,0.20468,52.67329,8.18559,142.91966
123.013760769532,-17.6632970679436,"Oscar Range region, basement province",Cenozoic regolith 76542,0.97374,0.21568,53.34999,7.79157,142.91966
123.013699347263,-17.6642951798135,"Oscar Range region, basement province",Cenozoic regolith 76542,1.04691,0.20278,53.64026,7.58994,142.91966
123.013637924994,-17.6652932916834,"Oscar Range region, basement province",Cenozoic regolith 76542,1.17073,0.18406,53.95261,7.45949,142.91966
123.013576502725,-17.6662914035533,"Oscar Range region, basement province",Cenozoic regolith 76542,1.27218,0.18372,54.29640,7.24455,142.91966
123.013515080456,-17.6672895154233,"Oscar Range region, basement province",Cenozoic regolith 76542,1.24915,0.21442,54.64108,6.99651,142.91966
123.013453658187,-17.6682876272932,"Oscar Range region, basement province",Cenozoic regolith 76542,1.04398,0.26868,55.26582,7.10934,142.91966
123.013392235918,-17.6692857391631,"Oscar Range region, basement province",Cenozoic regolith 76542,0.92447,0.29025,55.53501,7.05564,142.91966
123.013330813649,-17.670283851033,"Oscar Range region, basement province",Cenozoic regolith 76542,0.86349,0.27865,55.89056,7.03193,137.23027
123.013269391381,-17.671281962903,"Oscar Range region, basement province",Cenozoic regolith 76542,0.91263,0.23924,56.13504,6.99511,137.23027
123.013207969112,-17.6722800747729,"Oscar Range region, basement province",Cenozoic regolith 76542,1.04982,0.19104,56.40959,7.10602,137.23027
123.013146546843,-17.6732781866428,"Oscar Range region, basement province",Cenozoic regolith 76542,1.17408,0.16127,56.97136,7.41684,137.23027
123.013085124574,-17.6742762985127,"Oscar Range region, basement province",Cenozoic regolith 76542,1.22025,0.16250,57.20123,7.66779,137.23027
123.013023702305,-17.6752744103826,"Oscar Range region, basement province",Cenozoic regolith 76542,1.16175,0.18411,57.40572,7.77302,137.23027
123.012962280036,-17.6762725222526,"Oscar Range region, basement province",Cenozoic regolith 76542,1.00634,0.20868,57.61306,7.89542,137.23027
123.012900857767,-17.6772706341225,"Oscar Range region, basement province",Cenozoic regolith 76542,0.81589,0.22629,57.84645,8.02555,137.23027
123.012839435498,-17.6782687459924,"Oscar Range region, basement province",Cenozoic regolith 76542,0.65563,0.23433,58.38963,8.19106,137.23027
123.012778013229,-17.6792668578623,"Oscar Range region, basement province",Cenozoic regolith 76542,0.58014,0.23332,58.68151,8.43955,130.20842
123.01271659096,-17.6802649697323,"Oscar Range region, basement province",Cenozoic regolith 76542,0.62587,0.22301,58.95712,8.68699,130.20842
123.012655168691,-17.6812630816022,"Oscar Range region, basement province",Cenozoic regolith 76542,0.81557,0.20402,59.20766,8.77725,130.20842
123.012593746422,-17.6822611934721,"Oscar Range region, basement province",Cenozoic regolith 76542,1.11509,0.18595,59.46834,8.56643,130.20842
123.012532324153,-17.683259305342,"Oscar Range region, basement province",Cenozoic regolith 76542,1.41780,0.17873,60.18449,8.22943,130.20842
123.012470901885,-17.6842574172119,"Oscar Range region, basement province",Cenozoic regolith 76542,1.50695,0.19878,60.73607,7.72308,130.20842
123.012409479616,-17.6852555290819,"Oscar Range region, basement province",Cenozoic regolith 76542,1.49758,0.20257,61.14439,7.55428,130.20842
123.012348057347,-17.6862536409518,"Oscar Range region, basement province",Cenozoic regolith 76542,1.35916,0.19071,61.49235,7.48054,130.20842
123.012286635078,-17.6872517528217,"Oscar Range region, basement province",Cenozoic regolith 76542,1.21073,0.16589,61.80744,7.43597,123.97197
123.012225212809,-17.6882498646916,"Oscar Range region, basement province",Cenozoic regolith 76542,1.13325,0.14439,62.41628,7.34500,123.97197
123.01216379054,-17.6892479765616,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.10242,0.14993,62.65902,7.20223,123.97197
123.012102368271,-17.6902460884315,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.06697,0.18413,62.89749,7.04942,123.97197
123.012040946002,-17.6912442003014,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.01467,0.21862,63.17288,7.10487,123.97197
123.011979523733,-17.6922423121713,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.98544,0.22700,63.46149,7.42940,123.97197
123.011918101464,-17.6932404240413,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.05346,0.20800,63.97028,7.79120,123.97197
123.011856679195,-17.6942385359112,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.17466,0.18678,64.23623,7.89769,123.97197
123.011795256926,-17.6952366477811,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.23754,0.18178,64.53774,7.67733,118.62120
123.011733834658,-17.696234759651,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.22560,0.18750,64.86702,7.38281,118.62120
123.011672412389,-17.6972328715209,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.20361,0.19698,65.31392,7.20837,118.62120
123.01161099012,-17.6982309833909,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.22530,0.20315,66.02260,7.12715,118.62120
123.011549567851,-17.6992290952608,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.20981,0.20220,66.37156,7.13305,118.62120
123.011488145582,-17.7002272071307,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.07529,0.19012,66.70605,7.27311,118.62120
123.011426723313,-17.7012253190006,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.91607,0.19049,67.01106,7.44717,118.62120
123.011365301044,-17.7022234308706,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.94567,0.20191,67.28339,7.46136,118.62120
123.011303878775,-17.7032215427405,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.15884,0.21725,67.79256,7.20764,118.62120
123.011242456506,-17.7042196546104,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.34192,0.22921,68.05679,6.97670,114.16502
123.011181034237,-17.7052177664803,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.30385,0.23830,68.31441,7.14668,114.16502
123.011119611968,-17.7062158783503,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.08093,0.24473,68.54669,7.74177,114.16502
123.011058189699,-17.7072139902202,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.88817,0.24639,68.75989,8.34983,114.16502
123.010996767431,-17.7082121020901,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.83313,0.24654,69.28160,8.55753,114.16502
123.010935345162,-17.70921021396,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.87166,0.24661,69.60688,8.32416,114.16502
123.010873922893,-17.7102083258299,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.95091,0.23568,69.93446,7.98333,114.16502
123.010812500624,-17.7112064376999,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.07467,0.20823,70.39562,7.98908,114.16502
123.010751078355,-17.7122045495698,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.26875,0.18186,70.71936,8.27172,110.87312
123.010689656086,-17.7132026614397,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.45927,0.18017,71.35961,8.41722,110.87312
123.010628233817,-17.7142007733096,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.48427,0.20858,71.64894,8.23067,110.87312
123.010566811548,-17.7151988851796,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.30093,0.25108,71.93980,7.82532,110.87312
123.010505389279,-17.7161969970495,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.04451,0.28973,72.24021,7.42967,110.87312
123.01044396701,-17.7171951089194,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.97912,0.31219,72.53881,7.17950,110.87312
123.010382544741,-17.7181932207893,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.03715,0.30357,73.06277,7.12131,110.87312
123.010321122472,-17.7191913326592,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.13906,0.28247,73.27837,7.39332,110.87312
123.010259700204,-17.7201894445292,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.15717,0.26890,73.48570,7.90993,108.38661
123.010198277935,-17.7211875563991,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.11089,0.26304,73.69718,8.24578,108.38661
123.010136855666,-17.722185668269,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.10701,0.24584,73.92025,8.10756,108.38661
123.010075433397,-17.7231837801389,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.19860,0.21593,74.47581,7.64609,108.38661
123.010014011128,-17.7241818920089,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.33106,0.19833,74.92075,7.22300,108.38661
123.009952588859,-17.7251800038788,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.42928,0.20040,75.18972,7.07564,108.38661
123.00989116659,-17.7261781157487,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.45855,0.20622,75.40385,7.13128,108.38661
123.009829744321,-17.7271762276186,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.43397,0.20748,75.58482,7.15648,108.38661
123.009768322052,-17.7281743394886,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.38091,0.20772,76.01659,7.13310,108.38661
123.009706899783,-17.7291724513585,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.29440,0.21493,76.32293,7.22804,106.12584
123.009645477514,-17.7301705632284,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.19463,0.22088,76.67297,7.41681,106.12584
123.009584055245,-17.7311686750983,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.11428,0.21484,77.00730,7.49491,106.12584
123.009522632976,-17.7321667869682,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.05222,0.20524,77.28075,7.38496,106.12584
123.009461210708,-17.7331648988382,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.01037,0.18578,77.70121,7.32753,106.12584
123.009399788439,-17.7341630107081,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.97469,0.18629,77.89875,7.46067,106.12584
123.00933836617,-17.735161122578,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.95959,0.19506,78.11334,7.75710,106.12584
123.009276943901,-17.7361592344479,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.99021,0.20159,78.35593,8.12520,106.12584
123.009215521632,-17.7371573463179,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.04290,0.19835,78.62039,8.45625,103.59813
123.009154099363,-17.7381554581878,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.04855,0.19125,79.03485,8.57986,103.59813
123.009092677094,-17.7391535700577,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.99353,0.18799,79.61656,8.35675,103.59813
123.009031254825,-17.7401516819276,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.93743,0.18888,79.89877,7.87523,103.59813
123.008969832556,-17.7411497937976,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.94245,0.19302,80.11863,7.46005,103.59813
123.008908410287,-17.7421479056675,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.01618,0.20033,80.27976,7.37174,103.59813
123.008846988018,-17.7431460175374,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.14392,0.20583,80.45301,7.52648,103.59813
123.008785565749,-17.7441441294073,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.29376,0.20451,80.96369,7.61184,103.59813
123.008724143481,-17.7451422412772,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.37641,0.19979,81.20998,7.49414,100.45244
123.008662721212,-17.7461403531472,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.30515,0.20371,81.40361,7.29737,100.45244
123.008601298943,-17.7471384650171,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.09284,0.21920,81.57199,7.17117,100.45244
123.008539876674,-17.748136576887,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.88275,0.23338,81.75362,7.12944,100.45244
123.008478454405,-17.7491346887569,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.84552,0.21663,82.18821,6.68681,100.45244
123.008417032136,-17.7501328006269,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,0.95125,0.20428,82.37865,6.86243,100.45244
123.008355609867,-17.7511309124968,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.10930,0.19681,82.58839,7.01381,100.45244
123.008294187598,-17.7521290243667,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.27410,0.18903,82.72118,7.14156,100.45244
123.008232765329,-17.7531271362366,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.42628,0.17361,82.84914,7.34428,100.45244
123.00817134306,-17.7541252481066,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.52940,0.15653,83.12611,7.58584,95.59572
123.008109920791,-17.7551233599765,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.52355,0.15138,83.28050,7.74162,95.59572
123.008048498522,-17.7561214718464,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.38495,0.16872,83.44517,7.83980,95.59572
123.007987076254,-17.7571195837163,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.20766,0.19663,83.60696,7.92205,95.59572
123.007925653985,-17.7581176955862,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.08817,0.22003,83.76904,7.89029,95.59572
123.007864231716,-17.7591158074562,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.05744,0.23494,84.19284,7.62052,95.59572
123.007802809447,-17.7601139193261,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.11953,0.24150,84.46280,7.16248,95.59572
123.007741387178,-17.761112031196,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.21918,0.24243,84.69843,6.83153,95.59572
123.007679964909,-17.7621101430659,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.23705,0.23482,84.84634,6.89191,88.47420
123.00761854264,-17.7631082549359,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.12962,0.22138,84.94007,7.31039,88.47420
123.007557120371,-17.7641063668058,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.00000,0.20910,85.23061,7.78015,89.10893
123.007495698102,-17.7651044786757,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.05392,0.19821,85.52015,7.57779,89.10893
123.007434275833,-17.7661025905456,"Oscar Range region, basement province",Cretaceous sedimentary rocks 76566,1.13972,0.19087,85.79354,7.29304,89.10893
