,X,Y,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
136,130.875319,-29.603257,0.000000,0.000000,0.000000,0.000000,0.000000
137,130.875498,-29.602273,0.000000,0.000000,0.000000,0.000000,0.000000
138,130.875678,-29.601290,0.000000,0.000000,0.000000,0.000000,0.000000
139,130.875857,-29.600306,0.000000,0.000000,0.000000,0.000000,0.000000
140,130.876036,-29.599322,0.000000,0.000000,0.000000,0.000000,0.000000
141,130.876216,-29.598338,0.000000,0.000000,0.000000,0.000000,0.000000
142,130.876395,-29.597354,0.000000,0.000000,0.000000,0.000000,0.000000
143,130.876575,-29.596371,0.000000,0.000000,0.000000,0.000000,0.000000
144,130.876754,-29.595387,0.000000,0.000000,0.000000,0.000000,0.000000
145,130.876934,-29.594403,0.000000,0.000000,0.000000,0.000000,0.000000
146,130.877113,-29.593419,0.000000,0.000000,0.000000,0.000000,0.000000
147,130.877292,-29.592436,0.000000,0.000000,0.000000,0.000000,0.000000
148,130.877472,-29.591452,0.000001,0.000000,0.000000,0.000000,0.000000
149,130.877651,-29.590468,0.000003,0.000000,0.000000,0.000000,0.000000
150,130.877831,-29.589484,0.000001,0.000000,0.000000,0.000000,0.000000
151,130.878010,-29.588500,0.000000,0.000000,0.000000,0.000000,0.000000
187,130.884469,-29.553085,0.000000,0.000000,0.000000,0.000000,0.000000
188,130.884648,-29.552101,0.000000,0.000000,0.000000,0.000000,0.000000
189,130.884828,-29.551117,0.000000,0.000000,0.000000,0.000000,0.000000
190,130.885007,-29.550133,0.000000,0.000000,0.000000,0.000000,0.000000
191,130.885187,-29.549150,0.000000,0.000000,0.000000,0.000000,0.000000
192,130.885366,-29.548166,0.000000,0.000000,0.000000,0.000000,0.000000
193,130.885545,-29.547182,0.000000,0.000000,0.000000,0.000000,0.000000
194,130.885725,-29.546198,0.000000,0.000000,0.000000,0.000000,0.000000
195,130.885904,-29.545214,0.000000,0.000000,0.000000,0.000000,0.000000
196,130.886084,-29.544231,0.000000,0.000000,0.000000,0.000000,0.000000
197,130.886263,-29.543247,0.000000,0.000000,0.000000,0.000000,0.000000
198,130.886442,-29.542263,0.000000,0.000000,0.000000,0.000000,0.000000
303,130.905281,-29.438967,0.000000,0.000000,0.000000,0.000000,0.000000
304,130.905460,-29.437983,0.000000,0.000000,0.000000,0.000002,0.000000
305,130.905640,-29.436999,0.000000,0.000000,0.000000,0.000037,0.000000
306,130.905819,-29.436016,0.000000,0.000001,0.000000,0.000682,0.000000
307,130.905998,-29.435032,0.000000,0.000010,0.000000,0.010122,0.000000
308,130.906178,-29.434048,0.000000,0.000183,0.000000,0.095322,0.000000
309,130.906357,-29.433064,0.000000,0.003027,0.000000,0.383858,0.000000
310,130.906537,-29.432080,0.000000,0.038030,0.000000,0.419195,0.000000
311,130.906716,-29.431097,0.000000,0.280753,0.000000,0.089602,0.000000
312,130.906896,-29.430113,0.000000,0.477176,0.000000,0.002665,0.000000
313,130.907075,-29.429129,0.000000,0.188536,0.000000,0.000011,0.000000
314,130.907254,-29.428145,0.000000,0.011809,0.000000,0.000000,0.000000
315,130.907434,-29.427162,0.000000,0.000115,0.000000,0.000000,0.000000
316,130.907613,-29.426178,0.000000,0.000011,0.000000,0.000000,0.000000
317,130.907793,-29.425194,0.000000,0.000005,0.000000,0.000000,0.000000
318,130.907972,-29.424210,0.000000,0.000002,0.000000,0.000000,0.000000
319,130.908151,-29.423226,0.000000,0.000001,0.000000,0.000000,0.000000
320,130.908331,-29.422243,0.000000,0.000000,0.000000,0.000000,0.000000
321,130.908510,-29.421259,0.000000,0.000000,0.000000,0.000000,0.000000
322,130.908690,-29.420275,0.000000,0.000000,0.000000,0.000000,0.000000
323,130.908869,-29.419291,0.000000,0.000000,0.000000,0.000000,0.000000
324,130.909049,-29.418308,0.000000,0.000000,0.000000,0.000000,0.000000
330,130.910125,-29.412405,0.000000,0.000000,0.000000,0.000000,0.000000
331,130.910304,-29.411421,0.000000,0.000000,0.000000,0.000000,0.000000
332,130.910484,-29.410437,0.000000,0.000000,0.000000,0.000000,0.000000
333,130.910663,-29.409454,0.000002,0.000000,0.000000,0.000000,0.000000
334,130.910843,-29.408470,0.000007,0.000000,0.000000,0.000000,0.000000
335,130.911022,-29.407486,0.000037,0.000000,0.000000,0.000000,0.000000
336,130.911201,-29.406502,0.000165,0.000000,0.000000,0.000000,0.000000
337,130.911381,-29.405519,0.000601,0.000000,0.000000,0.000000,0.000000
338,130.911560,-29.404535,0.001905,0.000000,0.000000,0.000000,0.000000
339,130.911740,-29.403551,0.004874,0.000000,0.000000,0.000000,0.000000
340,130.911919,-29.402567,0.015764,0.000000,0.000000,0.000000,0.000000
341,130.912099,-29.401583,0.041430,0.000000,0.000000,0.000000,0.000000
342,130.912278,-29.400600,0.086296,0.000000,0.000000,0.000000,0.000000
343,130.912457,-29.399616,0.141039,0.000000,0.000000,0.000000,0.000000
344,130.912637,-29.398632,0.183624,0.000000,0.000000,0.000000,0.000000
345,130.912816,-29.397648,0.189455,0.000000,0.000000,0.000000,0.000000
346,130.912996,-29.396665,0.167079,0.000000,0.000000,0.000000,0.000000
347,130.913175,-29.395681,0.114070,0.000000,0.000000,0.000000,0.000000
348,130.913354,-29.394697,0.061239,0.000000,0.000000,0.000000,0.000000
349,130.913534,-29.393713,0.025831,0.000000,0.000000,0.000000,0.000000
350,130.913713,-29.392729,0.008611,0.000000,0.000000,0.000000,0.000000
351,130.913893,-29.391746,0.002435,0.000000,0.000000,0.000000,0.000000
352,130.914072,-29.390762,0.000583,0.000000,0.000000,0.000000,0.000000
353,130.914252,-29.389778,0.000125,0.000000,0.000000,0.000000,0.000000
354,130.914431,-29.388794,0.000025,0.000000,0.000000,0.000000,0.000000
355,130.914610,-29.387811,0.000005,0.000000,0.000000,0.000000,0.000000
356,130.914790,-29.386827,0.000001,0.000000,0.000000,0.000000,0.000000
357,130.914969,-29.385843,0.000000,0.000000,0.000000,0.000000,0.000000
358,130.915149,-29.384859,0.000000,0.000000,0.000000,0.000000,0.000000
359,130.915328,-29.383876,0.000000,0.000000,0.000000,0.000000,0.000000
360,130.915507,-29.382892,0.000000,0.000000,0.000000,0.000000,0.000000
361,130.915687,-29.381908,0.000000,0.000000,0.000000,0.000000,0.000000
362,130.915866,-29.380924,0.000000,0.000000,0.000000,0.000000,0.000000
363,130.916046,-29.379940,0.000000,0.000000,0.000000,0.000000,0.000000
364,130.916225,-29.378957,0.000000,0.000000,0.000000,0.000000,0.000000
365,130.916404,-29.377973,0.000000,0.000000,0.000000,0.000000,0.000000
366,130.916584,-29.376989,0.000000,0.000000,0.000000,0.000000,0.000000
367,130.916763,-29.376005,0.000000,0.000000,0.000000,0.000000,0.000000
368,130.916943,-29.375022,0.000001,0.000000,0.000000,0.000000,0.000000
369,130.917122,-29.374038,0.000002,0.000000,0.000000,0.000000,0.000000
370,130.917302,-29.373054,0.000007,0.000000,0.000000,0.000000,0.000000
371,130.917481,-29.372070,0.000031,0.000000,0.000000,0.000000,0.000000
372,130.917660,-29.371086,0.000164,0.000000,0.000000,0.000000,0.000000
373,130.917840,-29.370103,0.000854,0.000000,0.000000,0.000000,0.000000
374,130.918019,-29.369119,0.002803,0.000000,0.000000,0.000000,0.000000
375,130.918199,-29.368135,0.007812,0.000000,0.000000,0.000000,0.000000
376,130.918378,-29.367151,0.018219,0.000000,0.000000,0.000000,0.000000
377,130.918557,-29.366168,0.038711,0.000000,0.000000,0.000000,0.000000
378,130.918737,-29.365184,0.064759,0.000000,0.000000,0.000000,0.000000
379,130.918916,-29.364200,0.062376,0.000000,0.000000,0.000000,0.000000
380,130.919096,-29.363216,0.048637,0.000000,0.000000,0.000000,0.000000
381,130.919275,-29.362232,0.031297,0.000000,0.000000,0.000000,0.000000
382,130.919454,-29.361249,0.016061,0.000000,0.000000,0.000000,0.000000
383,130.919634,-29.360265,0.004648,0.000000,0.000000,0.000000,0.000000
384,130.919813,-29.359281,0.000501,0.000000,0.000000,0.000000,0.000000
385,130.919993,-29.358297,0.000028,0.000000,0.000000,0.000000,0.000000
386,130.920172,-29.357314,0.000001,0.000000,0.000000,0.000000,0.000000
387,130.920352,-29.356330,0.000000,0.000000,0.000000,0.000000,0.000000
444,130.930578,-29.300255,0.000000,0.000000,0.000000,0.000000,0.000000
445,130.930758,-29.299271,0.000000,0.000000,0.000000,0.000018,0.000000
446,130.930937,-29.298287,0.000000,0.000000,0.000000,0.000510,0.000000
447,130.931116,-29.297303,0.000000,0.000000,0.000000,0.008365,0.000000
448,130.931296,-29.296320,0.000000,0.000000,0.000000,0.067975,0.000000
449,130.931475,-29.295336,0.000000,0.000000,0.000000,0.246535,0.000000
450,130.931655,-29.294352,0.000000,0.000000,0.000000,0.379926,0.000000
451,130.931834,-29.293368,0.000000,0.000093,0.000000,0.248573,0.000000
452,130.932013,-29.292385,0.000000,0.003673,0.000000,0.065465,0.000000
453,130.932193,-29.291401,0.000000,0.055400,0.000000,0.007523,0.000000
454,130.932372,-29.290417,0.000000,0.276870,0.000000,0.000444,0.000000
455,130.932552,-29.289433,0.000000,0.436086,0.000000,0.000026,0.000000
456,130.932731,-29.288449,0.000000,0.222159,0.000000,0.000005,0.000000
457,130.932911,-29.287466,0.000000,0.028553,0.000000,0.000002,0.000000
458,130.933090,-29.286482,0.000000,0.003155,0.000000,0.000001,0.000000
459,130.933269,-29.285498,0.000000,0.000507,0.000000,0.000000,0.000000
460,130.933449,-29.284514,0.000000,0.000117,0.000000,0.000000,0.000000
461,130.933628,-29.283531,0.000000,0.000032,0.000000,0.000000,0.000000
462,130.933808,-29.282547,0.000000,0.000010,0.000000,0.000000,0.000000
463,130.933987,-29.281563,0.000000,0.000003,0.000000,0.000000,0.000000
464,130.934166,-29.280579,0.000000,0.000001,0.000000,0.000000,0.000000
465,130.934346,-29.279595,0.000000,0.000001,0.000000,0.000000,0.000000
466,130.934525,-29.278612,0.000000,0.000000,0.000000,0.000000,0.000000
467,130.934705,-29.277628,0.000000,0.000000,0.000000,0.000000,0.000000
468,130.934884,-29.276644,0.000000,0.000000,0.000000,0.000000,0.000000
469,130.935063,-29.275660,0.000000,0.000000,0.000000,0.000000,0.000000
470,130.935243,-29.274677,0.000000,0.000000,0.000000,0.000000,0.000000
516,130.943496,-29.229423,0.000000,0.000000,0.000000,0.000000,0.000000
517,130.943675,-29.228439,0.000000,0.000000,0.000000,0.000000,0.000000
518,130.943855,-29.227455,0.000000,0.000002,0.000000,0.000000,0.000000
519,130.944034,-29.226472,0.000000,0.000007,0.000000,0.000000,0.000000
520,130.944214,-29.225488,0.000000,0.000017,0.000000,0.000000,0.000000
521,130.944393,-29.224504,0.000000,0.000026,0.000000,0.000000,0.000000
522,130.944572,-29.223520,0.000000,0.000028,0.000000,0.000000,0.000000
523,130.944752,-29.222537,0.000000,0.000022,0.000000,0.000000,0.000000
524,130.944931,-29.221553,0.000000,0.000015,0.000000,0.000000,0.000000
525,130.945111,-29.220569,0.000000,0.000009,0.000000,0.000000,0.000000
526,130.945290,-29.219585,0.000000,0.000006,0.000000,0.000000,0.000000
527,130.945469,-29.218602,0.000000,0.000004,0.000000,0.000000,0.000000
528,130.945649,-29.217618,0.000000,0.000003,0.000000,0.000000,0.000000
529,130.945828,-29.216634,0.000000,0.000002,0.000000,0.000000,0.000000
530,130.946008,-29.215650,0.000000,0.000001,0.000000,0.000000,0.000000
531,130.946187,-29.214666,0.000000,0.000001,0.000000,0.000000,0.000000
532,130.946367,-29.213683,0.000000,0.000000,0.000000,0.000000,0.000000
533,130.946546,-29.212699,0.000000,0.000000,0.000000,0.000000,0.000000
